source_url,reason,excluded_date,note,title_original,summary_ko
https://www.etnews.com/20260518000106,duplicate,2026-05-19,중복 기사,,
https://www.newscj.com/news/articleView.html?idxno=3400153,user_excluded,2026-05-19,수동 제외,,
https://www.inquirer.com/news/uber-eats-avride-food-delivery-expansion-20260515.html,user_excluded,2026-05-19,수동 제외,,
https://www.fnnews.com/news/202605181441036944,duplicate,2026-05-20,3ffc5ab4(CU 쿠팡이츠 24시간)과 중복,,
https://www.ajunews.com/view/20260625074808883,user_excluded,2026-07-01,중요도 낮음 - 사용자 삭제,"[2026 소비자정책포럼] 이태희 컬리 본부장 ""AI로 운영 효율·고객 가치 높인다""",AI로 발주·재고관리·농산물 선별·자율주행 로봇 도입 | 품절·폐기 감소 및 생산성 약 30% 개선 추진
https://techcrunch.com/2026/06/23/walmart-backed-flipkart-expands-quick-commerce-push-as-amazon-ramps-up-in-india/,user_excluded,2026-07-01,중요도 낮음 - 사용자 삭제,Walmart-backed Flipkart expands quick-commerce push as Amazon ramps up in India,플립카트 미닛츠 마이크로풀필먼트센터 1000개 달성 | 주문 전년비 400% 성장하며 블링킷 이어 2위
https://www.ddaily.co.kr/page/view/2026062517065532961,user_excluded,2026-07-09,더치페이 사건 DB 제외(사용자 요청),"""누가 얼마 내지?"" 끝…배민, 업계 최초 더치페이 기능 선보인다","배민, 국내 배달업계 최초 더치페이 기능 출시 | 균등·메뉴별 정산, 배민페이로 앱 내 완결"
https://www.hankyung.com/article/2026070686601,user_excluded,2026-07-09,M&A 검토 추측성 보도(사용자 제외),"배민 노리는 네이버, 배달앱서도 쿠팡과 맞붙나","네이버, 매물로 나온 배민 인수·지분투자 검토 | 진출 시 쿠팡이츠와 배달앱 정면 경쟁"
https://www.asiatoday.co.kr/kn/view.php?key=20260706010002082,user_excluded,2026-07-09,수동 제외(사용자 요청),월 방문객 2400만여명…협력으로 독주체제 굳힌 '배민',배민 MAU 2433만명으로 쿠팡이츠 크게 앞서 | 소비기한 할인·함께주문·배스킨라빈스 협력
https://newsway.co.kr/news/view?ud=2026070617523117712,user_excluded,2026-07-09,수동 제외(사용자 요청),'한 길 건너 편의점'···5.5만 점포 배송전쟁 새 전장,"편의점 5만5천 점포 포화로 배송 경쟁 전환 | CU·GS25, 쿠팡이츠와 24시간 배송 협력"
https://www.ad-hoc-news.de/boerse/news/ueberblick/the-food-delivery-app-by-delivery-hero-white-label-tech-behind-local/69717106,user_excluded,2026-07-09,수동 제외(사용자 요청),The Food Delivery App by Delivery Hero - white label tech behind local brands,여러 로컬 배달 브랜드를 구동하는 표준화 기술 플랫폼 | 주문·검색·결제부터 라이더 배차까지 통합 제공
https://www.ad-hoc-news.de/boerse/news/ueberblick/the-foodpanda-monthly-subscription-from-delivery-hero-flat-fee-orders/69664942,user_excluded,2026-07-09,수동 제외(사용자 요청),The Foodpanda monthly subscription from Delivery Hero - flat-fee orders reshape loyal users,무료 배달·회원 전용 프로모션 제공하는 아시아 유료 구독 | 반복 이용자 락인으로 수익 안정화 전략
